vegetal	final_wcvp_accepted_name
Tetradenia riparia	Tetradenia riparia
Persea gratissima	Persea americana
Bulbine frutescens	Bulbine frutescens
Cordyline terminalis	NA
Struthanthus uraguensis	Struthanthus uraguensis
Adenaria floribunda	Adenaria floribunda
Lagerstroemia indica	Lagerstroemia indica
Byrsonima basiloba	Byrsonima basiloba
Byrsonima lancifolia	Byrsonima lancifolia
Byrsonima orbignyana	Byrsonima cydoniifolia
Heteropterys campestris	Heteropterys campestris
Malvaviscus arboreus	Malvaviscus arboreus
Sida rhombifolia	Sida rhombifolia
Tibouchina chamissoana	Pleroma molle
Tibouchina granulosa	Pleroma granulosum
Tibouchina holosericea	Pleroma clavatum
Tibouchina radula	Pleroma radula
Artocarpus integrifolia	NA
Morus alba	Morus alba
Morus nigra	Morus nigra
Sorocea bonplandii	Sorocea bonplandii
Callistemon viminalis	Melaleuca viminalis
Eucalyptus blakelyi	Eucalyptus blakelyi
Eucalyptus cinerea	Eucalyptus cinerea
Eucalyptus robusta	Eucalyptus robusta
Eucalyptus rudis	Eucalyptus rudis
Eucalyptus tereticornis	Eucalyptus tereticornis
Eugenia jambos	Syzygium jambos
Eugenia malaccensis	Syzygium malaccense
Eugenia pitanga	Eugenia pitanga
Eugenia punicifolia	Eugenia punicifolia
Myrcia largipes	Myrcia tomentosa
Jasminum azoricum	Jasminum azoricum
Ludwigia laruotteana	Ludwigia laruotteana
Oxalis latifolia	Oxalis latifolia
Antigonon leptopus	Antigonon leptopus
Coccoloba mollis	Coccoloba mollis
Polygonum capitatum	Persicaria capitata
Portulaca elatior	Portulaca elatior
Rhamnidium elaeocarpum	Rhamnidium elaeocarpum
Alibertia sessilis	Cordiera sessilis
Chomelia pohliana	Chomelia pohliana
Coussarea hydrangeifolia	Coussarea hydrangeifolia
Declieuxia dusenii	Declieuxia dusenii
Gardenia jasminoides	Gardenia jasminoides
Psychotria carthagenensis	Psychotria carthagenensis
Citrus limon	Citrus × limon
Zanthoxylum rhoifolium	Zanthoxylum rhoifolium
Matayba guianensis	Matayba guianensis
Serjania caracasana	Serjania caracasana
Serjania communis	Serjania communis
Serjania glabrata	Serjania glabrata
Manilkara achras	Manilkara zapota
Paulownia tomentosa	Paulownia tomentosa
Russelia equisetiformis	Russelia equisetiformis
Nicotiana tabacum	Nicotiana tabacum
Solanum americanum	Solanum americanum
Dombeya burgessiae	Dombeya burgessiae
Dombeya wallichii	Dombeya wallichii
Melochia tomentosa	Melochia tomentosa
Camellia japonica	Camellia japonica
Camellia sinensis	Camellia sinensis
Heliocarpus americanus	Heliocarpus americanus
Luehea divaricata	Luehea divaricata
Lantana camara	Lantana camara
Petrea volubilis	Petrea volubilis
Vitex megapotamica	Vitex megapotamica
Anchietea parvifolia	Anchietea pyrifolia
Salvertia convallariodora	Salvertia convallariodora
Vochysia cinnamomea	Vochysia cinnamomea
Echinodorus grandiflorus	Aquarius grandiflorus
Crinum x	Crinum
Schefflera macrocarpa	Didymopanax macrocarpus
Montanoa bipinnatifida	Montanoa bipinnatifida
Merremia macrocalyx	Distimake macrocalyx
Aleurites fordii	Vernicia fordii
Anadenanthera macrocarpa	Anadenanthera colubrina
Mimosa nuda	Mimosa debilis
Hyptis crinita	Medusantha crinita
Yucca filamentosa	Yucca filamentosa
Microlicia cuneata	NA
Campomanesia aromatica	Campomanesia aromatica
Psidium firmum	Psidium firmum
Grevillea robusta	Grevillea robusta
Magonia pubescens	Magonia pubescens
Symplocos lanceolata	Symplocos oblongifolia
Lippia salviifolia	Lippia origanoides
Qualea grandiflora	Qualea grandiflora
Caryocar cuneatum	Caryocar cuneatum
Chamaecrista diphylla	Chamaecrista diphylla
Copaifera martii	Copaifera martii
Parkia platycephala	Parkia platycephala
Polygala longicaulis	Polygala longicaulis
Turnera melochioides	Turnera melochioides
Amasonia hirta	Amasonia hirta
Plathymenia foliolosa	Plathymenia reticulata
Ludwigia elegans	Ludwigia elegans
Rosa chinensis	Rosa chinensis
Distictella mansoana	Amphilophium mansoanum
Erythroxylum campestre	Erythroxylum campestre
Miconia ligustroides	Miconia ligustroides
Schefflera morototoni	Didymopanax morototoni
Maximiliana martiana	Attalea maripa
Carica papaya	Carica papaya
Artocarpus incisa	Artocarpus altilis
Syzygium jambolanum	Syzygium cumini
